,hotel,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
105599,City Hotel,1,2017,February,6,9,0,3,2,0.0,0,SC,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,88.0,1,2,Check-Out,2017-02-12
58274,City Hotel,42,2016,October,42,10,1,0,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,126.0,0,1,Canceled,2016-10-09
60241,City Hotel,277,2016,November,46,7,1,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,,,0,Transient,100.0,0,0,Canceled,2016-04-04
61836,City Hotel,56,2016,December,53,27,0,3,2,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,98.4,0,1,Canceled,2016-12-02
51226,City Hotel,451,2016,May,21,16,1,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,60.0,0,0,Canceled,2016-03-14
32380,Resort Hotel,123,2017,January,3,19,2,4,2,2.0,0,BB,POL,Direct,Direct,0,0,0,G,G,2,No Deposit,250.0,,0,Transient,82.0,0,2,Check-Out,2017-01-25
33124,Resort Hotel,11,2017,May,18,2,0,2,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,1,0,2,A,A,0,No Deposit,146.0,,0,Transient,45.0,0,0,Check-Out,2017-05-04
99164,City Hotel,1,2016,October,42,9,1,0,1,0.0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,103.18,0,1,Check-Out,2016-10-10
71717,City Hotel,146,2017,July,28,11,0,1,2,1.0,0,BB,LUX,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,125.1,0,0,Canceled,2017-06-27
41954,City Hotel,10,2015,August,35,28,0,1,2,0.0,1,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Contract,90.0,0,2,Canceled,2015-08-27
64984,City Hotel,56,2017,March,12,21,0,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,86.0,,0,Transient,85.0,0,0,Canceled,2017-01-24
59185,City Hotel,82,2016,October,43,21,2,4,2,0.0,0,BB,TUN,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,123.0,0,2,Canceled,2016-10-10
115088,City Hotel,50,2017,June,26,27,0,4,2,0.0,0,BB,SAU,Direct,Direct,0,0,0,A,D,0,No Deposit,14.0,,0,Transient,103.5,0,0,Check-Out,2017-07-01
80695,City Hotel,32,2015,November,47,20,0,2,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,119.0,,0,Transient-Party,73.0,0,0,Check-Out,2015-11-22
70695,City Hotel,30,2017,June,25,21,0,3,2,0.0,0,BB,CHE,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,9.0,,0,Transient,206.67,0,1,Canceled,2017-05-30
110229,City Hotel,150,2017,April,16,19,1,4,2,1.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient-Party,152.1,0,0,Check-Out,2017-04-24
108368,City Hotel,104,2017,March,12,19,2,5,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,20.0,,0,Transient-Party,75.0,0,1,Check-Out,2017-03-26
33855,Resort Hotel,7,2017,March,9,2,1,3,2,0.0,0,BB,GBR,Groups,Corporate,0,0,0,D,D,0,No Deposit,,223.0,0,Transient-Party,47.0,0,0,Check-Out,2017-03-06
48279,City Hotel,56,2016,March,12,19,2,4,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,93.5,0,0,Canceled,2016-03-03
45188,City Hotel,65,2015,October,43,22,0,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Contract,89.25,0,2,Canceled,2015-08-22
